,content,toxic,severe_toxic,obscene,threat,insult,identity_hate
9671,look at this fucking chad,1,0,1,0,1,0
9730,above plat yasuo has a shit winrate rn lol,1,0,1,0,0,0
9747,wiat then what the fuck,1,0,1,0,1,0
9763,is riot fucking trolling??? what the fuck,1,0,1,0,1,0
9773,like syndra is my main mage and my fucking god is she disgusting,1,0,0,0,0,0
9779,because he will get shit on by bruisers or juggernauts,1,0,1,0,0,0
9907,ahri overrated as fuck dont @ me,1,0,1,0,1,0
10098,Troll ass adc,1,0,0,0,0,0
10137,fuck that,1,0,1,0,1,0
10179,you guys wanna see something stupid?,1,0,0,0,0,0
10185,What the fuck. You can WQ and cancel the W animation,1,0,1,0,0,0
10204,Lillia is so fucking fast,1,0,1,0,0,0
10265,holy shit,1,0,0,0,0,0
10266,but how fucking depressing is this?,1,0,1,0,1,0
10295,"ahhh,rewards from that shit",1,0,1,0,0,0
10338,nexus blitz is ass,1,0,1,0,0,0
10348,man yuumi jng is fucking annoying,1,0,1,0,0,0
10504,what the fuck?,1,0,1,0,1,0
10555,oh fuck,1,0,1,0,1,0
10558,hold the fuck up,1,0,1,0,0,0
10588,nah skip that shit,1,0,1,0,0,0
10615,shit is so cringe and over done,1,0,1,0,0,0
10632,free as fuck,1,0,1,0,1,0
10641,how are you so shit,1,0,1,0,0,0
10732,yes idiot,1,0,0,0,0,0
10746,"it was the evelynn game, he even stole my fucking champ",1,0,1,0,0,0
10813,what you get for trying to zoom in on frost irelias ass,1,0,1,0,0,0
10899,"Yeah, still can't tell what the fuck singed is meant to do",1,0,0,0,0,0
10942,those hooks were fucking insane,1,0,1,0,0,0
10986,"Which is ... fucking hard , almost impossible",1,0,1,0,0,0
11012,because its fucking bronze,1,0,1,0,1,0
11060,"Bun that’s called surrendering, fuck that",1,0,1,0,0,0
11063,HOLY FUCKING,1,0,1,0,0,0
11093,literally fuck wukong,1,0,1,0,0,0
11242,anbyone else getting this shit ****,1,0,1,0,0,0
11257,> If they fucking give this guy the style mechanic I’ll lose my god damn mind,1,0,0,0,0,0
11277,This is why you go Jhin mid and carry it like a fucking man,1,0,0,0,0,0
11376,No fucking shit it is,1,0,1,0,1,0
11409,I'm safe for now so fuck you guys,1,0,1,0,0,0
11449,this shit scales way too much,1,0,1,0,0,0
11623,Time to get the fuck outta silver,1,0,1,0,0,0
11724,you suck rip,1,0,1,0,0,0
11863,Shit like orianna,1,0,1,0,0,0
11929,Oh SHIT,1,0,1,0,0,0
11936,its the fucking video,1,0,1,0,0,0
11940,> yeah but u gotta be dumb for pyke to land a combo on you midlane you cant to shit with no mobility,1,0,0,0,0,0
11956,no one fucking keeps up,1,0,1,0,0,0
11967,riot giga gay,1,0,0,0,0,0
11991,everything about that is so fucking wrong,1,0,1,0,0,0
11995,but they do it such a i dont give a shit way,1,0,1,0,0,0
11998,get fucked corgiyou bitch,1,0,1,0,0,0
12089,Some stupid mother fuckers literally want to fight their own teams more than they want to fight the enemy team it's fucking stupendous,1,0,0,0,0,0
12105,Fuck that champ,1,0,1,0,1,0
12161,Dont bully me! You ass,1,0,0,0,0,0
12229,screw that shit,1,0,0,0,0,0
12284,This fucking guy changes his name to that?,1,0,1,0,0,0
12341,He would have a shit stand and just punch people irl,1,0,0,0,0,0
12402,Oh fuck league is top now,1,0,1,0,0,0
12406,Fuck I exposed myself,1,0,1,0,0,0
12413,no coke or you a bitch,1,0,1,0,1,0
12485,> fuck off,1,0,1,0,1,0
12542,Annoying ass dog champ,1,0,0,0,0,0
12549,damn hate yasuo more,1,0,0,0,0,0
12555,Ill fucking do it,1,0,1,0,0,0
12589,this is scetchy aas fuck and triumph saved my ass in the knick of time,1,0,1,0,1,0
12620,sucks ass,1,0,1,0,0,0
12645,Like the one time I got someone to ask me to get fucking lynched while playing nasus,1,0,0,0,0,0
12663,that shit is still going huh,1,0,0,0,0,0
12698,fuck cant send images,1,0,1,0,0,0
12724,Guess you SUCK,1,0,0,0,0,0
12784,what the fuck is this,1,0,1,0,1,0
12799,calling poppy stupid,1,0,0,0,0,0
12804,i never fucking ward and im diamond,1,0,1,0,0,0
12835,ok fuck my life,1,0,1,0,1,0
12846,u poke the fuck out of him when he does it,1,0,1,0,1,0
12852,mundo can fuck kayle,1,0,1,0,1,0
12854,They can fuck her,1,0,1,0,1,0
12887,just goes to show how fucking terrible my champ is,1,0,0,0,0,0
12921,he fuck,1,0,1,0,1,0
12984,And my friend had to fucking choose tahm kench,1,0,1,0,0,0
12993,Also hes satisfying as fuck to farn with,1,0,1,0,0,0
