,year,total_pop,black_pct,white_pct,latinx_pct,asian_pct,other_pct,black_drive_stops,white_drive_stops,latinx_drive_stops,asian_drive_stops,other_drive_stops,black_uof,white_uof,latinx_uof,asian_uof,other_uof,city,quarter,black bias percentages,latinx bias percentages,asian bias percentages,other bias percentages,black bias score,latinx bias score,asian bias score,other bias score,average racial bias score,max racial bias score,average racial bias percentage,min racial bias percentage,black excessive force score,latinx excessive force score,asian excessive force score,other excessive force score,average excessive force score,black excessive force percent,latinx excessive force percent,asian excessive force percent,other excessive force percent,max excessive force score,average force percent,min force percent,diagnostic score,diagnostic percentile
2,2018,2706000,0.3,0.45,0.293,0.05,0.3,152171,315212,81520,16304,3804,2497.0,210.0,418.0,16.0,119.0,Chicago,,0.42715506653346413,0.4084960454044184,0.3410284146209943,0.4492302881638024,-0.18362183430400308,-0.23141541487983325,-0.4096580198248176,-0.12760626069049544,-0.2380753824247873,-0.12760626069049544,0.40647745368066973,0.3410284146209943,66.46158948329,28.560426470132004,4.359078392749028,58.479720612629926,39.46520373970024,0.0,0.0,6.5305661454129185e-06,0.0,66.46158948329,1.6326415363532296e-06,0.0,0.952135209154789,0.17051420731049716
3,2019,2693976,0.301,0.494,0.29,0.064,0.301,316945,109292,163937,81969,4279,2726.0,211.0,473.0,11.0,116.0,Chicago,,0.07176627011782488,0.07039511893442263,0.06719707686682119,0.07330349205493357,1.4627619056021897,1.4728546304893726,1.496996557770718,1.4516211158716306,1.4710585524334778,1.496996557770718,0.07066548949350057,0.06719707686682119,22.986769454633087,4.892058371542934,-13.075327493715275,30.15420926949566,11.239427400489104,0.0,4.989341920724755e-07,0.0,0.0,30.15420926949566,1.2473354801811887e-07,0.0,1.8303536292859688,0.0335985384334106
0,2016,298802,0.412,0.49,0.042,0.017,0.039,13714,7463,0,80,476,455.0,166.0,4.0,1.0,11.0,Cincinnati,,0.09968557811793644,,0.2677803334751142,0.15922648803090866,1.2833452211342014,,0.6195400188463528,-0.9976420229519546,0.3017477390095332,1.2833452211342014,0.17556413320798644,0.09968557811793644,4.5057088687655495,,-4.516461534429708,0.1241014190945172,0.03778291781011955,3.307586648015892e-06,,3.144076658800898e-06,0.4506174872860609,4.5057088687655495,0.15020797964978924,3.144076658800898e-06,1.6463645735563055,0.04984436109729762
1,2017,301305,0.423,0.475,0.039,0.026,0.037000000000000005,12826,7019,0,86,484,488.0,142.0,2.0,0.0,15.0,Cincinnati,,0.1548971902464944,,0.3593670019679921,0.2804941619441167,-1.0156535799160191,,0.36015128309747724,-0.5813741377483305,-0.4122921448556242,0.36015128309747724,0.26491945138620104,0.1548971902464944,6.844642857473312,,-11.917834577179491,1.5997511525505432,-1.1578135223852122,3.8333780594257405e-12,,0.0,0.05482689956182685,6.844642857473312,0.01827563318855341,0.0,1.4224447144387296,0.0774485951232472
2,2018,302615,0.404,0.498,0.036000000000000004,0.023,0.039,4995,2789,0,34,241,508.0,147.0,5.0,0.0,7.0,Cincinnati,,0.4035876099269951,,0.3043976199851455,0.3702417443732859,0.24407179052245614,,0.5117939286122044,0.3312131490442296,0.3623596227262967,0.5117939286122044,0.3594089914284755,0.3043976199851455,7.466327143754947,,-12.128205756077044,-1.6045014045701784,-2.088793338964091,4.1189274213593314e-14,,0.0,0.054301787555053216,7.466327143754947,0.018100595851698136,0.0,1.0270485150234672,0.15219880999257274
3,2019,303954,0.411,0.495,0.035,0.28,0.031,4995,2789,0,34,241,361.0,132.0,1.0,0.0,4.0,Cincinnati,,0.30440829308843065,,0.06791707300549221,0.1060516027615589,-0.5117634317406278,,-1.4914852305560349,1.2478030116560554,-0.2518152168802024,1.2478030116560554,0.15945898961849392,0.06791707300549221,4.332449036475628,,-11.492401234616652,-2.210629917182019,-3.1235273717743475,7.372990194043361e-06,,0.0,0.013530737638072887,4.332449036475628,0.004512703542755643,0.0,1.8255566343840384,0.033958536502746106
0,2019,289102,0.044,0.852,0.07400000000000001,0.047,0.006999999999999999,4796,32358,3002,1358,1796,57.0,102.0,10.0,7.0,3.0,Lincoln,,0.275813520979873,0.11338244176241885,0.3639839443540431,0.4151386006854951,-0.5953238119243183,1.2087344460380705,0.3478299592081313,-0.21434606069435191,0.1867236331568829,1.2087344460380705,0.2920796269454575,0.11338244176241885,8.645899188132889,0.16685280249390974,3.9527247954618288,-1.1041393568783533,2.9153343573025685,0.0,0.4337429352984245,3.863314215202252e-05,0.13476634549944255,8.645899188132889,0.14213697848500476,0.0,1.5831712309179795,0.05669122088120944
1,2018,287401,0.043,0.8320000000000001,0.0723,0.0456,0.006,5553,38264,3385,1583,1697,42.0,81.0,6.0,13.0,2.0,Lincoln,,0.17185803047021642,0.3736016625503296,0.4694547698764293,0.1087723888942984,0.946848348489162,0.3223291856101521,-0.07664049948653819,1.2330830576475842,0.6064050230650899,1.2330830576475842,0.2809217129478184,0.1087723888942984,7.168741462442522,-0.4205954009915117,11.734199977547275,-0.8308074615895014,4.4128846443521965,3.7847502909471586e-13,0.3370252762935477,0.0,0.20304120339074705,11.734199977547275,0.1350166199211683,0.0,1.603735402035417,0.054386194447149205
2,2017,284506,0.043,0.8320000000000001,0.071,0.0452,0.0057,5135,36903,3085,1442,1524,61.0,99.0,10.0,9.0,5.0,Lincoln,,0.13692007300109088,0.3435066721166826,0.09234200252912772,0.433728549352546,-1.0942618638227972,-0.40291148201269017,-1.3264701834208412,0.16688936828969891,-0.6641885402416574,0.16688936828969891,0.2516243242498618,0.09234200252912772,10.027533502440868,0.5718479568148392,7.237772295671857,0.4404448920350337,4.5693996617406505,0.0,0.2837124922570477,2.2803980925800715e-13,0.32980745850901805,10.027533502440868,0.15337998769157346,0.0,1.6831709510777602,0.04617100126456386
3,2016,281254,0.0419,0.833,0.0684,0.043,0.0064,5139,36085,2794,1464,1324,32.0,63.0,4.0,15.0,3.0,Lincoln,,0.2288203629915477,0.12962783413378431,0.1456484772286094,0.11788494275282313,0.7427373272579636,-1.1281521496355325,1.0552807236992456,-1.1856263652429302,-0.12894011598031335,1.0552807236992456,0.15549540427669115,0.11788494275282313,6.267844447408468,-0.3858097193384175,14.748343151821395,0.4428005701428126,5.268294612508565,1.8304013860159785e-10,0.34981879828927764,0.0,0.3289549954538069,14.748343151821395,0.16969344848153115,0.0,1.5637131730144649,0.058942471376411565
0,2019,8336817,0.243,0.321,0.29100000000000004,0.14,0.039,7981,1215,3869,301,8,1931.0,271.0,847.0,91.0,1.0,New York City,1.0,0.2479968241789522,0.484211909860703,0.209050638998782,0.15503604818578431,0.6808069554845847,-0.039585208979034316,0.8097197261568947,-1.0150707647513872,0.10896767697776444,0.8097197261568947,0.2740738553060553,0.15503604818578431,1.438490008340498,-0.3028903253265181,4.028488031835377,-0.664658076223434,1.1248574096564807,0.07514753521737383,0.3809867222604629,2.8068358985167133e-05,0.25313460711533065,4.028488031835377,0.17732423323803814,2.8068358985167133e-05,1.4218695769061145,0.07753205827238474
1,2018,8390081,0.243,0.321,0.29100000000000004,0.14,0.039,6241,1074,3389,221,16,1494.0,265.0,793.0,60.0,5.0,New York City,1.0,0.38695014537128347,0.4449035769824098,0.3853776666756946,0.4095343432535757,-0.2872769234125719,-0.1385482314266201,0.2913870294820658,0.22874298073325194,0.02357621384403144,0.2913870294820658,0.4066914330707409,0.3853776666756946,-0.5210628253418919,-0.8560915006866857,1.180205734993027,0.6048403446216112,0.1019729383965152,0.3011615032744453,0.19597358475366888,0.11895919931878852,0.2726425419838039,1.180205734993027,0.22218420733267666,0.11895919931878852,0.6676815869630969,0.2521684329972416
2,2017,8437478,0.243,0.321,0.29100000000000004,0.14,0.039,6595,977,3567,206,9,1594.0,222.0,794.0,45.0,1.0,New York City,1.0,0.18584474280951532,0.09572325659211244,0.359935879367256,0.30729266951190715,0.8933131728034699,1.30631189630813,0.3586301901317734,-0.5035390407821845,0.5136790546152972,1.30631189630813,0.2371991370701977,0.09572325659211244,0.9887166138758972,-0.3077549647918961,-0.4280119405249582,-0.8288595819886229,-0.143977468357395,0.1614009059468513,0.3791343961265452,0.3343212135462741,0.20359193426392053,0.9887166138758972,0.2696121124708978,0.1614009059468513,1.1332145569440146,0.12856208126948188
3,2016,8469153,0.243,0.321,0.29100000000000004,0.14,0.039,6498,1270,3626,140,38,2156.0,330.0,1134.0,53.0,10.0,New York City,1.0,0.09907447223518663,0.12962228029040254,0.07218119190968075,0.09854845054962458,-1.286843204875488,-1.1281784559024781,-1.4597369457707334,1.2898668248003196,-0.6462229454370949,1.2898668248003196,0.09985659874622364,0.07218119190968075,5.027345112081916,3.5435457989616164,5.471765014294572,0.04591483824753431,3.522142690896409,2.48658438284366e-07,0.00019739236713478547,2.2278769939987345e-08,0.4816890637195257,5.471765014294572,0.12047168175596715,2.2278769939987345e-08,1.7979734566136483,0.03609060709422535
0,2016,639635,0.058,0.7040000000000001,0.102,0.076,0.06,1745,14433,1443,1045,1132,236.0,498.0,94.0,41.0,9.0,Portland,,0.1532402273455753,0.19440712627618464,0.12983350390815185,0.18281603685176728,-1.0226349999927216,-0.8617697167230336,1.1271785258956604,0.9046854080552382,0.036864804308785866,1.1271785258956604,0.16507422359541976,0.12983350390815185,19.098946166774493,5.856798507423211,2.0979385574963216,-4.846341432075627,5.551835449904599,0.0,2.359375250726714e-09,0.0179552866919076,6.287950700123447e-07,19.098946166774493,0.004488979461588215,0.0,1.5147587751255212,0.06491675195407592
1,2017,648121,0.053,0.698,0.104,0.081,0.064,1168,7695,797,531,522,236.0,498.0,94.0,41.0,9.0,Portland,,0.4250683575365089,0.2106759588072491,0.20217974443313813,0.3754040745578322,0.18894399047484567,-0.8040780202060104,-0.8338606938782022,0.3175739338011013,-0.28285519745206644,0.3175739338011013,0.3033320338336821,0.20217974443313813,15.868595208006775,5.616673815906353,2.922925519890548,-4.3625345716329305,5.011414993042687,0.0,9.733420736068863e-09,0.0017337972562324608,6.428213105258429e-06,15.868595208006775,0.0004350588006896139,0.0,1.275365950904492,0.10108987221656908
2,2018,652573,0.061,0.7,0.093,0.08800000000000001,0.058,1386,9397,1134,703,553,539.0,1140.0,170.0,54.0,37.0,Portland,,0.31937823807099897,0.30896268271518434,0.1974897620154572,0.4185950394839461,-0.4694381619014206,0.4987927928034294,-0.8506217128506284,0.20548901598894795,-0.15394451648991792,0.4987927928034294,0.31110643057139664,0.1974897620154572,25.647661936400198,2.756285614841848,-9.759155416291746,-3.850042241197754,3.6986874734381368,0.0,0.002923096147118054,0.0,5.904872777151571e-05,25.647661936400198,0.0007455362187223924,0.0,1.288736346323276,0.0987448810077286
3,2019,653467,0.055,0.705,0.097,0.081,0.062,2057,10108,1448,751,345,579.0,957.0,128.0,28.0,39.0,Portland,,0.0962653329751435,0.1215940908016968,0.2886599123136594,0.07668215091733821,1.3031291714192967,1.1670549441256144,0.5573038808331702,-1.4277483578452874,0.3999349096331984,1.3031291714192967,0.14580037175195948,0.07668215091733821,23.251008939996055,-0.7662140945195938,-15.95754009551199,1.1425382260968957,1.9174482440153429,0.0,0.2217744616341646,0.0,0.12661518308708766,23.251008939996055,0.08709741118031306,0.0,1.7702701335341526,0.03834107545866911
