,Citation Number,Date Issued,Time Issued,Location ,District,Cited Person Age,Cited Person Sex,Cited Person Race,Offense Code,Offense Description,Officer Age,Officer Sex,Officer Race,Quarter,Year
509,C3266,2016-07-06,21:31:00,N MAPLE ST & W 11TH ST,LB518,44,F,U,9-21-8-32,DISREGARDING STOP SIGN,25,M,W,3,2016
510,C3264,2016-07-07,15:15:00,E 10TH ST & N STATE ROAD 45 46 BYPASS,LB222,34,M,U,9-18-2-7,EXPIRED LICENSE PLATES,34,M,W,3,2016
511,C3304,2016-07-08,22:15:07,W VERNAL PIKE & N STATE ROAD 37 45,LB516,26,F,W,9-19-6-3,NO OR IMPROPER HEADLIGHTS,24,M,W,3,2016
512,C3265,2016-07-08,03:01:00,N PETE ELLIS DR & E 10TH ST,LB221,20,F,U,9-18-2-7,EXPIRED LICENSE PLATES,24,M,W,3,2016
513,C3307,2016-07-08,16:00:00,N MORTON ST & W 7TH ST,LB101,27,M,W,9-18-2-7,EXPIRED LICENSE PLATES,34,M,W,3,2016
514,C3306,2016-07-08,08:31:00,N COLLEGE AVE & W 15TH ST,LB519,42,M,W,9-18-2-7,EXPIRED LICENSE PLATES,25,M,W,3,2016
515,C3309,2016-07-08,10:50:00,E 10TH ST & N WALNUT GROVE AVE,LIU14,54,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,44,M,W,3,2016
516,C3308,2016-07-09,00:23:00,S STATE ROAD 37 & W 3RD ST,LB403,23,M,U,9-21-5-6,EXCEEDING POSTED SPEED LIMIT,35,M,W,3,2016
517,C3312,2016-07-11,11:38:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,32,M,B,9-21-5-11,SPEED LIMIT WORKSITES,39,M,W,3,2016
518,C3313,2016-07-11,11:38:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,32,M,B,9-24-19-1,DRIVING WHILE SUSPENDED,39,M,W,3,2016
519,C3310,2016-07-11,16:59:00,W 11TH ST & N ADAMS ST,LB517,18,M,W,9-21-8-32,DISREGARDING STOP SIGN,25,M,W,3,2016
520,C3315,2016-07-12,17:07:00,E 17TH ST & N STATE ROAD 45 46 BYPASS,LIU05,39,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,35,F,W,3,2016
521,C3314,2016-07-12,15:25:00,S COLLEGE MALL RD & E 2ND ST,LB305,57,F,W,9-18-2-7,EXPIRED LICENSE PLATES,27,M,W,3,2016
522,C3397,2016-07-13,23:45:00,W STATE ROAD 45 & S STATE ROAD 37,LB416,21,M,W,9-21-5-11,SPEED LIMIT WORKSITES,39,M,W,3,2016
523,C3397,2016-07-13,23:45:00,W STATE ROAD 45 & S STATE ROAD 37,LB416,21,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,39,M,W,3,2016
524,C3403,2016-07-13,22:15:00,N COLLEGE AVE & W STATE ROAD 45 46 BYPASS,LB511,26,M,W,9-18-2-7,EXPIRED LICENSE PLATES,23,M,W,3,2016
525,C3364,2016-07-13,15:57:00,S WASHINGTON ST & E 2ND ST,LB301,22,M,B,9-18-2-7,EXPIRED LICENSE PLATES,27,M,W,3,2016
526,C3366,2016-07-13,20:41:00,S JORDAN AVE & E ATWATER AVE,LB303,21,M,B,9-18-2-7,EXPIRED LICENSE PLATES,29,F,W,3,2016
527,C3365,2016-07-13,16:06:00,W VERNAL PIKE & N STATE ROAD 37 45,LB516,67,M,W,9-18-2-29,VEHICLES REQUIRING REGISTRATION,29,F,W,3,2016
528,C3390,2016-07-14,17:41:00,S ROCKPORT RD & W TAPP RD,LB432,40,M,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,35,F,W,3,2016
529,C3367,2016-07-14,08:28:00,1800 S WALNUT ST,LB421,30,F,W,9-25-8-2,OPERATING/PERMITTING OPERATION W/O FINAN,50,F,W,3,2016
530,C3395,2016-07-14,23:58:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,22,F,W,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2016
531,C3395,2016-07-14,23:58:00,W BLOOMFIELD RD & S STATE ROAD 37,LB417,22,F,W,9-21-5-11,SPEED LIMIT WORKSITES,37,M,W,3,2016
532,C3391,2016-07-15,08:44:00,N ROGERS ST & W 6TH ST,LB101,18,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,51,F,W,3,2016
533,C3392,2016-07-15,08:44:00,N ROGERS ST & W 6TH ST,LB101,18,M,W,9-18-2-27,FALSE REGISTRATION,51,F,W,3,2016
534,C3396,2016-07-15,01:20:00,W VERNAL PIKE & N STATE ROAD 37 45,LB516,21,M,W,9-24-19-1,DRIVING WHILE SUSPENDED,37,M,W,3,2016
535,C3398,2016-07-16,10:29:00,N COLLEGE AVE & W 14TH ST,LB519,23,M,U,9-18-2-7,EXPIRED LICENSE PLATES,51,F,W,3,2016
536,C3406,2016-07-16,22:13:00,S WALNUT ST & E WYLIE ST,LB410,33,F,L,9-21-8-25,"TURNS, SIGNALING",31,M,W,3,2016
