0,1,2,3,counts
www.bloomberg.com,news,articles,2020-01-31,64
www.bloomberg.com,news,articles,2019-06-24,64
www.bloomberg.com,news,articles,2019-09-03,63
www.bloomberg.com,news,articles,2019-11-11,63
www.bloomberg.com,news,articles,2019-09-30,63
www.bloomberg.com,news,articles,2019-04-26,63
www.bloomberg.com,news,articles,2019-07-12,63
www.bloomberg.com,news,articles,2020-01-13,62
www.bloomberg.com,news,articles,2019-07-26,62
www.bloomberg.com,news,articles,2019-12-17,62
www.bloomberg.com,news,articles,2019-06-21,62
www.bloomberg.com,news,articles,2020-01-27,62
www.bloomberg.com,news,articles,2020-01-24,61
www.bloomberg.com,news,articles,2019-08-22,61
www.bloomberg.com,news,articles,2019-03-15,61
www.bloomberg.com,news,articles,2019-06-17,60
www.bloomberg.com,news,articles,2019-05-06,60
www.bloomberg.com,news,articles,2019-12-18,60
www.bloomberg.com,news,articles,2020-02-21,60
www.bloomberg.com,news,articles,2019-12-13,60
www.bloomberg.com,news,articles,2020-02-24,60
www.bloomberg.com,news,articles,2020-02-03,59
www.bloomberg.com,news,articles,2019-10-14,59
www.bloomberg.com,news,articles,2019-05-03,59
www.bloomberg.com,news,articles,2019-11-18,59
www.bloomberg.com,news,articles,2019-09-09,59
www.bloomberg.com,news,articles,2019-04-05,58
www.bloomberg.com,news,articles,2019-08-20,58
www.bloomberg.com,news,articles,2019-09-16,58
www.bloomberg.com,news,articles,2019-07-15,57
www.bloomberg.com,news,articles,2020-01-06,57
www.bloomberg.com,news,articles,2019-04-25,57
www.bloomberg.com,news,articles,2019-04-22,57
www.bloomberg.com,news,articles,2019-11-08,57
www.bloomberg.com,news,articles,2019-08-08,57
www.bloomberg.com,news,articles,2019-08-27,56
www.bloomberg.com,news,articles,2019-07-05,56
www.bloomberg.com,news,articles,2020-02-14,56
www.bloomberg.com,news,articles,2019-08-09,56
www.bloomberg.com,news,articles,2019-08-19,55
www.bloomberg.com,news,articles,2019-08-15,55
www.bloomberg.com,news,articles,2019-11-25,55
www.bloomberg.com,news,articles,2019-10-25,54
www.bloomberg.com,news,articles,2019-07-03,54
www.bloomberg.com,news,articles,2019-08-13,54
www.bloomberg.com,news,articles,2019-12-16,54
www.bloomberg.com,news,articles,2019-08-07,53
www.bloomberg.com,news,articles,2019-12-20,53
www.bloomberg.com,news,articles,2019-11-27,53
www.bloomberg.com,news,articles,2019-09-02,52
www.bloomberg.com,news,articles,2020-01-17,51
www.bloomberg.com,news,articles,2019-03-24,51
www.bloomberg.com,news,articles,2019-07-01,50
www.bloomberg.com,news,articles,2020-01-20,50
www.bloomberg.com,news,articles,2019-08-14,48
www.bloomberg.com,news,articles,2019-10-13,48
www.bloomberg.com,news,articles,2019-08-12,47
www.bloomberg.com,news,articles,2019-11-28,47
www.bloomberg.com,news,articles,2020-01-03,47
www.bloomberg.com,news,articles,2019-05-19,46
www.bloomberg.com,news,articles,2020-01-19,44
www.bloomberg.com,news,articles,2019-05-27,44
www.bloomberg.com,news,articles,2019-03-23,43
www.bloomberg.com,news,articles,2019-08-16,43
www.bloomberg.com,news,articles,2019-07-04,43
www.bloomberg.com,news,articles,2019-10-05,42
www.bloomberg.com,news,articles,2020-03-01,42
www.bloomberg.com,news,articles,2019-03-31,42
www.bloomberg.com,news,articles,2019-03-10,42
www.bloomberg.com,news,articles,2019-12-14,42
www.bloomberg.com,news,articles,2020-02-01,41
www.bloomberg.com,news,articles,2019-04-19,41
www.bloomberg.com,news,articles,2019-06-02,41
