id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
33644460,Private entrance private room and private bathroom,216480693,Fa,,Outer Sunset,37.74941,-122.47792,Private room,89,1,72,2020-03-22,5.05,4,67
33667375,Peaceful Guest Suite in Central Castro With Easy Parking,44934464,Tara,,Castro/Upper Market,37.76153,-122.44206,Private room,80,1,109,2020-06-06,7.68,1,55
33687369,Gorgeous & sunny ~ Prime location for work/play,241152029,Tim,,Western Addition,37.77235,-122.42771,Private room,120,2,12,2019-10-08,0.86,3,0
33692799,NobHill Hideaway- private backyard & courtyard,3286522,Tyler,,Nob Hill,37.78892,-122.41894,Entire home/apt,475,5,12,2020-02-29,0.91,2,28
33704566,"Mid-Century Modern Condo, SoMa Near Moscone Center",2738239,Michia,,South of Market,37.77755,-122.40631,Entire home/apt,250,30,3,2020-03-20,0.30,1,266
33711571,2BR Place in Great Hayes Valley Location,48005494,Zeus,,Western Addition,37.77601,-122.42747,Entire home/apt,170,30,0,,,208,14
33713266,Peaceful City View Retreat!,2146719,Nikki,,Bayview,37.7187,-122.39225,Private room,75,30,18,2020-03-01,1.53,13,365
33715114,Private Room and Bathroom on Ocean Beach,39532367,David,,Outer Sunset,37.75551,-122.50742,Private room,100,6,16,2019-08-16,1.30,1,0
33745682,Cozy private bedroom in clean comfortable flat,105631670,Michael,,Parkside,37.74438,-122.47724,Private room,400,30,0,,,1,89
33769639,"San Francisco, Union Square condo",34102518,Sandra,,Financial District,37.79013,-122.40665,Private room,900,1,0,,,2,0
33773572,Private master suite in beautiful Bernal Heights,7556101,James,,Bernal Heights,37.74079,-122.41431,Entire home/apt,129,2,54,2020-03-11,4.62,1,157
33781225,A/C ⭐️ W/D ⭐️ Patio ⭐️ Outer Sunset Private Studio Apt.,133894957,Jessica,,Parkside,37.74454,-122.49181,Entire home/apt,95,1,41,2020-05-25,2.91,5,175
33783996,Victorian Charm with a Mid-century Twist,3476328,Francesca,,Excelsior,37.71939,-122.43498,Entire home/apt,290,5,11,2019-12-01,0.95,1,89
33784880,SOMA private apartment,251857916,Aminah,,South of Market,37.7781,-122.41033,Entire home/apt,110,30,1,2019-08-16,0.10,2,363
