"name","pop","location"
"Angra dos Reis","153635","https://www.google.com/maps/?q=-23.0067,-44.3181"
"Nova Friburgo","153361","https://www.google.com/maps/?q=-22.2819,-42.5311"
"Rondonopolis","152912","https://www.google.com/maps/?q=-16.4708,-54.6356"
"Itapecerica da Serra","151605","https://www.google.com/maps/?q=-23.7169,-46.8492"
"Guarapuava","150850","https://www.google.com/maps/?q=-25.3905,-51.4654"
"Parnamirim","150343","https://www.google.com/maps/?q=-5.91556,-35.2628"
"Caxias","148072","https://www.google.com/maps/?q=-4.85889,-43.3561"
"Nilopolis","147281","https://www.google.com/maps/?q=-22.8075,-43.4139"
"Pocos de Caldas","146588","https://www.google.com/maps/?q=-21.7878,-46.5614"
"Maraba","145860","https://www.google.com/maps/?q=-5.38146,-49.1323"
"Luziania","143601","https://www.google.com/maps/?q=-16.2525,-47.9503"
"Cabo","143105","https://www.google.com/maps/?q=-8.28333,-35.0333"
"Macae","143029","https://www.google.com/maps/?q=-22.3848,-41.7832"
"Ibirite","141374","https://www.google.com/maps/?q=-20.0219,-44.0589"
"Lauro de Freitas","141280","https://www.google.com/maps/?q=-12.8944,-38.3272"
"Paranagua","141013","https://www.google.com/maps/?q=-25.5163,-48.5254"
"Parnaiba","138008","https://www.google.com/maps/?q=-2.90472,-41.7767"
"Itu","137586","https://www.google.com/maps/?q=-23.2642,-47.2992"
"Castanhal","137406","https://www.google.com/maps/?q=-1.29389,-47.9264"
"Sao Caetano do Sul","136453","https://www.google.com/maps/?q=-23.6231,-46.5511"
"Queimados","135741","https://www.google.com/maps/?q=-22.7161,-43.5553"
"Pindamonhangaba","132218","https://www.google.com/maps/?q=-22.9239,-45.4617"
"Sapucaia","130937","https://www.google.com/maps/?q=-29.8333,-51.15"
"Jaragua do Sul","130130","https://www.google.com/maps/?q=-26.4861,-49.0667"
"Mogi Guacu","128865","https://www.google.com/maps/?q=-22.3677,-46.9455"
"Jequie","127475","https://www.google.com/maps/?q=-13.8588,-40.0851"
"Itapetininga","126243","https://www.google.com/maps/?q=-23.5917,-48.0531"
"Patos de Minas","126234","https://www.google.com/maps/?q=-18.5789,-46.5181"
"Braganca Paulista","125096","https://www.google.com/maps/?q=-22.9527,-46.5442"
"Timon","124427","https://www.google.com/maps/?q=-5.09417,-42.8367"
"Sao Jose dos Pinhais","124224","https://www.google.com/maps/?q=-25.5302,-49.2084"
"Teresopolis","123979","https://www.google.com/maps/?q=-22.4167,-42.9782"
"Uruguaiana","123480","https://www.google.com/maps/?q=-29.7547,-57.0883"
"Porto Seguro","123173","https://www.google.com/maps/?q=-16.4497,-39.0647"
"Alagoinhas","122688","https://www.google.com/maps/?q=-12.1356,-38.4192"
"Palhoca","122423","https://www.google.com/maps/?q=-27.6453,-48.6678"
"Barbacena","122211","https://www.google.com/maps/?q=-21.2258,-43.7736"
"Cachoeirinha","121084","https://www.google.com/maps/?q=-29.9511,-51.0939"
"Santa Rita","119893","https://www.google.com/maps/?q=-7.11389,-34.9781"
"Toledo","119313","https://www.google.com/maps/?q=-24.7136,-53.7431"
"Jau","119206","https://www.google.com/maps/?q=-22.2964,-48.5578"
"Cubatao","118410","https://www.google.com/maps/?q=-23.895,-46.4253"
"Pinhais","117000","https://www.google.com/maps/?q=-25.4447,-49.1925"
"Simoes Filho","116662","https://www.google.com/maps/?q=-12.7844,-38.4039"
"Varginha","116571","https://www.google.com/maps/?q=-21.5514,-45.4303"
"Sinop","116013","https://www.google.com/maps/?q=-11.8642,-55.5025"
"Pouso Alegre","115201","https://www.google.com/maps/?q=-22.23,-45.9364"
"Eunapolis","114275","https://www.google.com/maps/?q=-16.3775,-39.5803"
"Botucatu","113862","https://www.google.com/maps/?q=-22.8858,-48.445"
"Jandira","113605","https://www.google.com/maps/?q=-23.5275,-46.9025"
"Ribeirao Pires","111888","https://www.google.com/maps/?q=-23.7106,-46.4133"
"Conselheiro Lafaiete","111596","https://www.google.com/maps/?q=-20.6603,-43.7861"
"Resende","111514","https://www.google.com/maps/?q=-22.4689,-44.4467"
"Araucaria","111302","https://www.google.com/maps/?q=-25.5931,-49.4103"
"Atibaia","110968","https://www.google.com/maps/?q=-23.1169,-46.5503"
"Varzea Paulista","110936","https://www.google.com/maps/?q=-23.2114,-46.8283"
"Garanhuns","110085","https://www.google.com/maps/?q=-8.88202,-36.5022"
"Araruama","109637","https://www.google.com/maps/?q=-22.8728,-42.3431"
"Catanduva","109612","https://www.google.com/maps/?q=-21.1378,-48.9728"
"Franco da Rocha","108858","https://www.google.com/maps/?q=-23.3217,-46.7269"
"Cabo Frio","108239","https://www.google.com/maps/?q=-22.8872,-42.0262"
"Ji Parana","107697","https://www.google.com/maps/?q=-10.8853,-61.9517"
"Araras","107463","https://www.google.com/maps/?q=-22.3569,-47.3842"
"Poa","107432","https://www.google.com/maps/?q=-23.5281,-46.3447"
"Vitoria de Santo Antao","107383","https://www.google.com/maps/?q=-8.11806,-35.2914"
"Umuarama","107319","https://www.google.com/maps/?q=-23.7664,-53.325"
"Apucarana","107085","https://www.google.com/maps/?q=-23.5508,-51.4608"
"Santa Cruz do Sul","106113","https://www.google.com/maps/?q=-29.7175,-52.4258"
"Guaratingueta","105880","https://www.google.com/maps/?q=-22.8164,-45.1925"
"Linhares","105075","https://www.google.com/maps/?q=-19.3911,-40.0722"
"Araguaina","105019","https://www.google.com/maps/?q=-7.19111,-48.2072"
"Esmeraldas","103206","https://www.google.com/maps/?q=-19.7625,-44.3139"
"Birigui","102277","https://www.google.com/maps/?q=-21.2886,-50.34"
"Assis","101597","https://www.google.com/maps/?q=-22.6617,-50.4122"
"Barretos","101220","https://www.google.com/maps/?q=-20.5572,-48.5678"
"Colatina","101190","https://www.google.com/maps/?q=-19.5394,-40.6306"
"Teofilo Otoni","101170","https://www.google.com/maps/?q=-17.8575,-41.5053"
"Guaiba","101024","https://www.google.com/maps/?q=-30.1139,-51.325"
"Guarapari","100925","https://www.google.com/maps/?q=-20.6718,-40.502"
"Coronel Fabriciano","100916","https://www.google.com/maps/?q=-19.5186,-42.6289"
"Itaguai","100752","https://www.google.com/maps/?q=-22.8522,-43.7753"
"Rio das Ostras","100000","https://www.google.com/maps/?q=-22.5269,-41.945"
"Itabira","99496","https://www.google.com/maps/?q=-19.6192,-43.2269"
"Votorantim","99390","https://www.google.com/maps/?q=-23.5467,-47.4378"
"Sertaozinho","99211","https://www.google.com/maps/?q=-21.1378,-47.9903"
"Santana de Parnaiba","98989","https://www.google.com/maps/?q=-23.4442,-46.9178"
"Bage","98940","https://www.google.com/maps/?q=-31.3314,-54.1069"
"Passos","98752","https://www.google.com/maps/?q=-20.7189,-46.6097"
"Salto","98387","https://www.google.com/maps/?q=-23.2008,-47.2869"
"Uba","97828","https://www.google.com/maps/?q=-21.12,-42.9428"
"Ourinhos","97799","https://www.google.com/maps/?q=-22.9789,-49.8706"
"Trindade","97521","https://www.google.com/maps/?q=-16.6494,-49.4889"
"Arapongas","97512","https://www.google.com/maps/?q=-23.4194,-51.4244"
"Araguari","96565","https://www.google.com/maps/?q=-18.6472,-48.1872"
"Corumba","96520","https://www.google.com/maps/?q=-19.0092,-57.6533"
"Erechim","96087","https://www.google.com/maps/?q=-27.6346,-52.2754"
"Japeri","95101","https://www.google.com/maps/?q=-22.6431,-43.6533"
"Vespasiano","94749","https://www.google.com/maps/?q=-19.6919,-43.9233"
"Campo Largo","94668","https://www.google.com/maps/?q=-25.4596,-49.5301"
"Tatui","93580","https://www.google.com/maps/?q=-23.3556,-47.8569"
"Patos","92575","https://www.google.com/maps/?q=-7.02444,-37.28"
"Timoteo","91722","https://www.google.com/maps/?q=-19.5811,-42.6495"
"Muriae","91173","https://www.google.com/maps/?q=-21.1306,-42.3664"
"Cambe","91080","https://www.google.com/maps/?q=-23.2758,-51.2783"
"Bayeux","91056","https://www.google.com/maps/?q=-7.125,-34.9322"
"Bento Goncalves","90852","https://www.google.com/maps/?q=-29.1714,-51.5192"
"Caraguatatuba","90843","https://www.google.com/maps/?q=-23.6203,-45.4131"
"Itanhaem","90385","https://www.google.com/maps/?q=-24.1831,-46.7889"
"Santana do Livramento","89694","https://www.google.com/maps/?q=-30.8908,-55.5328"
"Almirante Tamandare","89499","https://www.google.com/maps/?q=-25.3247,-49.31"
"Planaltina","88853","https://www.google.com/maps/?q=-15.4528,-47.6142"
"Crato","88786","https://www.google.com/maps/?q=-7.23417,-39.4094"
"Valinhos","88630","https://www.google.com/maps/?q=-22.9706,-46.9958"
"Sao Lourenco da Mata","88416","https://www.google.com/maps/?q=-8.00222,-35.0183"
"Nova Lima","88399","https://www.google.com/maps/?q=-19.9856,-43.8467"
"Brusque","88284","https://www.google.com/maps/?q=-27.0979,-48.9128"
"Barra do Pirai","87668","https://www.google.com/maps/?q=-22.47,-43.8256"
"Alegrete","87236","https://www.google.com/maps/?q=-29.7831,-55.7919"
"Caieiras","87188","https://www.google.com/maps/?q=-23.3642,-46.7406"
"Barra do Corda","86662","https://www.google.com/maps/?q=-5.50556,-45.2433"
"Igarassu","86457","https://www.google.com/maps/?q=-7.83417,-34.9064"
"Paulo Afonso","85350","https://www.google.com/maps/?q=-9.40611,-38.2147"
"Ituiutaba","85345","https://www.google.com/maps/?q=-18.9743,-49.4621"
"Esteio","84902","https://www.google.com/maps/?q=-29.8614,-51.1792"
"Sarandi","84697","https://www.google.com/maps/?q=-23.4436,-51.8739"
"Itaperuna","84435","https://www.google.com/maps/?q=-21.205,-41.8878"
"Santana","83927","https://www.google.com/maps/?q=-0.05833,-51.1817"
"Jardim Paulista","83667","https://www.google.com/maps/?q=-23.5667,-46.6644"
"Codo","83288","https://www.google.com/maps/?q=-4.45528,-43.8856"
"Araxa","82595","https://www.google.com/maps/?q=-19.5933,-46.9406"
"Abreu e Lima","81959","https://www.google.com/maps/?q=-7.91167,-34.9028"
"Itajuba","81870","https://www.google.com/maps/?q=-22.4256,-45.4528"
"Lavras","81472","https://www.google.com/maps/?q=-21.2453,-44.9997"
"Avare","81285","https://www.google.com/maps/?q=-23.0986,-48.9258"
"Formosa","81232","https://www.google.com/maps/?q=-15.5372,-47.3344"
"Leme","81209","https://www.google.com/maps/?q=-22.1856,-47.3903"
"Cruzeiro do Sul","79819","https://www.google.com/maps/?q=-7.62759,-72.6776"
"Itumbiara","79582","https://www.google.com/maps/?q=-18.4192,-49.2153"
"Marica","79551","https://www.google.com/maps/?q=-22.9194,-42.8186"
"Ubatuba","79007","https://www.google.com/maps/?q=-23.4339,-45.0711"
"Tres Lagoas","78712","https://www.google.com/maps/?q=-20.7876,-51.7034"
"Sao Joao del Rei","78592","https://www.google.com/maps/?q=-21.1356,-44.2617"
"Mogi Mirim","78244","https://www.google.com/maps/?q=-22.4319,-46.9578"
"Abaetetuba","78050","https://www.google.com/maps/?q=-1.71806,-48.8825"
"Sao Bento do Sul","77597","https://www.google.com/maps/?q=-26.2503,-49.3786"
"Itauna","77400","https://www.google.com/maps/?q=-20.0753,-44.5764"
"Sao Mateus","77117","https://www.google.com/maps/?q=-18.7201,-39.8589"
"Jatai","76547","https://www.google.com/maps/?q=-17.8794,-51.7217"
"Sao Joao da Boa Vista","76540","https://www.google.com/maps/?q=-21.9692,-46.7981"
"Lorena","76506","https://www.google.com/maps/?q=-22.7308,-45.1247"
"Santa Cruz do Capibaribe","76450","https://www.google.com/maps/?q=-7.9575,-36.2047"
"Sao Sebastiao","76367","https://www.google.com/maps/?q=-23.76,-45.4097"
"Tucurui","76337","https://www.google.com/maps/?q=-3.76585,-49.6792"
"Embu Guacu","76310","https://www.google.com/maps/?q=-23.8322,-46.8114"
"Sapiranga","76051","https://www.google.com/maps/?q=-29.6381,-51.0069"
"Para de Minas","75786","https://www.google.com/maps/?q=-19.8603,-44.6083"
"Campo Mourao","75401","https://www.google.com/maps/?q=-24.0431,-52.3793"
"Cachoeira do Sul","74694","https://www.google.com/maps/?q=-30.0392,-52.8939"
"Santo Antonio de Jesus","73957","https://www.google.com/maps/?q=-12.9689,-39.2614"
"Paranavai","72848","https://www.google.com/maps/?q=-23.0731,-52.4653"
"Joao Monlevade","72762","https://www.google.com/maps/?q=-19.81,-43.1736"
"Matao","72468","https://www.google.com/maps/?q=-21.6033,-48.3658"
"Bacabal","72372","https://www.google.com/maps/?q=-4.29167,-44.7917"
"Cacapava","72340","https://www.google.com/maps/?q=-23.1008,-45.7069"
"Aruja","72077","https://www.google.com/maps/?q=-23.3961,-46.3208"
"Cruzeiro","72022","https://www.google.com/maps/?q=-22.5732,-44.9711"
"Patrocinio","71963","https://www.google.com/maps/?q=-18.9439,-46.9925"
"Tres Rios","71944","https://www.google.com/maps/?q=-22.1167,-43.2092"
"Bebedouro","71862","https://www.google.com/maps/?q=-20.9494,-48.4792"
"Sao Cristovao","71539","https://www.google.com/maps/?q=-11.0147,-37.2064"
"Alfenas","71406","https://www.google.com/maps/?q=-21.4292,-45.9472"
"Ijui","71202","https://www.google.com/maps/?q=-28.3878,-53.9147"
"Altamira","70888","https://www.google.com/maps/?q=-3.20333,-52.2064"
"Paracatu","70753","https://www.google.com/maps/?q=-17.2222,-46.8747"
"Carpina","70689","https://www.google.com/maps/?q=-7.85083,-35.2547"
"Iguatu","70380","https://www.google.com/maps/?q=-6.35944,-39.2986"
"Votuporanga","69863","https://www.google.com/maps/?q=-20.4228,-49.9728"
"Paragominas","69613","https://www.google.com/maps/?q=-2.96667,-47.4833"
"Lins","69451","https://www.google.com/maps/?q=-21.6786,-49.7425"
"Jaboticabal","69394","https://www.google.com/maps/?q=-21.2547,-48.3222"
"Vicosa","68680","https://www.google.com/maps/?q=-20.7539,-42.8819"
"Sao Sebastiao do Paraiso","68654","https://www.google.com/maps/?q=-20.9169,-46.9914"
"Balsas","68056","https://www.google.com/maps/?q=-7.5325,-46.0356"
"Itatiba","67934","https://www.google.com/maps/?q=-23.0058,-46.8389"
"Santa Ines","67424","https://www.google.com/maps/?q=-3.66667,-45.38"
"Tubarao","67245","https://www.google.com/maps/?q=-28.4667,-49.0069"
"Pato Branco","65754","https://www.google.com/maps/?q=-26.2286,-52.6706"
"Paulinia","65595","https://www.google.com/maps/?q=-22.7611,-47.1542"
"Lajeado","65407","https://www.google.com/maps/?q=-29.4669,-51.9614"
"Cruz Alta","65275","https://www.google.com/maps/?q=-28.644,-53.6063"
"Aquiraz","65116","https://www.google.com/maps/?q=-3.90139,-38.3911"
"Itacoatiara","64937","https://www.google.com/maps/?q=-3.14306,-58.4442"
"Gurupi","64789","https://www.google.com/maps/?q=-11.7292,-49.0686"
"Itaituba","64756","https://www.google.com/maps/?q=-4.27611,-55.9836"
"Santo Angelo","64606","https://www.google.com/maps/?q=-28.2992,-54.2631"
"Parintins","64428","https://www.google.com/maps/?q=-2.62833,-56.7358"
"Curvelo","63954","https://www.google.com/maps/?q=-18.7564,-44.4308"
"Itabaiana","63888","https://www.google.com/maps/?q=-10.685,-37.4253"
"Cacador","63726","https://www.google.com/maps/?q=-26.7753,-51.015"
"Ouro Preto","63678","https://www.google.com/maps/?q=-20.3948,-43.5052"
"Caldas Novas","63675","https://www.google.com/maps/?q=-17.7443,-48.6279"
"Irece","63626","https://www.google.com/maps/?q=-11.3042,-41.8558"
"Catalao","63544","https://www.google.com/maps/?q=-18.1658,-47.9464"
"Tres Coracoes","63457","https://www.google.com/maps/?q=-21.6969,-45.2533"
"Rio Largo","63387","https://www.google.com/maps/?q=-9.47833,-35.8533"
"Vilhena","63231","https://www.google.com/maps/?q=-12.7406,-60.1458"
"Valenca","63231","https://www.google.com/maps/?q=-13.3703,-39.0731"
"Peruibe","63030","https://www.google.com/maps/?q=-24.32,-46.9983"
"Itapeva","62957","https://www.google.com/maps/?q=-23.9822,-48.8756"
"Cataguases","62618","https://www.google.com/maps/?q=-21.3892,-42.6967"
"Saquarema","62056","https://www.google.com/maps/?q=-22.92,-42.5103"
"Tupa","62035","https://www.google.com/maps/?q=-21.9347,-50.5136"
"Fernandopolis","61931","https://www.google.com/maps/?q=-20.2839,-50.2464"
"Senador Canedo","61800","https://www.google.com/maps/?q=-16.7081,-49.0931"
"Itapira","61607","https://www.google.com/maps/?q=-22.4361,-46.8217"
"Gravata","61249","https://www.google.com/maps/?q=-8.20111,-35.5647"
"Valenca","61144","https://www.google.com/maps/?q=-22.2456,-43.7003"
"Pirassununga","60413","https://www.google.com/maps/?q=-21.9961,-47.4258"
"Unai","60202","https://www.google.com/maps/?q=-16.3575,-46.9061"
"Caratinga","60066","https://www.google.com/maps/?q=-19.7897,-42.1392"
"Itapetinga","59721","https://www.google.com/maps/?q=-15.2489,-40.2478"
