Date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
20060301,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,International,A,3589
20060301,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,5488
20060301,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,5823
20060301,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,125648
20060301,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,124880
20060301,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 3,E,4432
20060301,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 3,E,4554
20060301,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,4452
20060301,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,4426
20060301,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,17643
20060301,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,17492
20060301,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,11191
20060301,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Enplaned,Other,International,A,10903
20060301,China Airlines,CI,China Airlines,CI,International,Asia,Deplaned,Other,International,A,11642
20060301,China Airlines,CI,China Airlines,CI,International,Asia,Enplaned,Other,International,A,10196
20060301,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Low Fare,Terminal 1,C,16530
20060301,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Deplaned,Other,Terminal 1,C,58608
20060301,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Low Fare,Terminal 1,C,17143
20060301,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Enplaned,Other,Terminal 1,C,60784
20060301,EVA Airways,BR,EVA Airways,BR,International,Asia,Deplaned,Other,International,G,12397
20060301,EVA Airways,BR,EVA Airways,BR,International,Asia,Enplaned,Other,International,G,11634
