"name","pop","location"
"Komatsu","109045","https://www.google.com/maps/?q=36.4026,136.451"
"Iwatsuki","108833","https://www.google.com/maps/?q=35.9647,139.696"
"Tajimi","107818","https://www.google.com/maps/?q=35.3167,137.133"
"Iida","107111","https://www.google.com/maps/?q=35.5196,137.821"
"Fukayacho","106595","https://www.google.com/maps/?q=36.2,139.283"
"Honmachi","104341","https://www.google.com/maps/?q=32.5044,130.6"
"Iwakuni","104004","https://www.google.com/maps/?q=34.163,132.22"
"Isehara","103401","https://www.google.com/maps/?q=35.3993,139.31"
"Nishio","103337","https://www.google.com/maps/?q=34.8667,137.05"
"Inazawa","102130","https://www.google.com/maps/?q=35.25,136.783"
"Tokuyama","101133","https://www.google.com/maps/?q=34.05,131.817"
"Narita","100641","https://www.google.com/maps/?q=35.7833,140.317"
"Izumisano","100595","https://www.google.com/maps/?q=34.4167,135.317"
"Sakata","100446","https://www.google.com/maps/?q=38.9167,139.855"
"Konan","100389","https://www.google.com/maps/?q=35.3316,136.87"
"Chikushino-shi","100353","https://www.google.com/maps/?q=33.4963,130.516"
"Tsuruoka","99820","https://www.google.com/maps/?q=38.7217,139.822"
"Ikeda","99476","https://www.google.com/maps/?q=34.8221,135.43"
"Isahaya","97371","https://www.google.com/maps/?q=32.8411,130.043"
"Mobara","97315","https://www.google.com/maps/?q=35.4258,140.296"
"Ise","97314","https://www.google.com/maps/?q=34.4833,136.7"
"Kameoka","97181","https://www.google.com/maps/?q=35,135.583"
"Sakado","96656","https://www.google.com/maps/?q=35.9569,139.389"
"Muroran","96197","https://www.google.com/maps/?q=42.3172,140.988"
"Onojo","94957","https://www.google.com/maps/?q=33.5357,130.479"
"Kanuma","94903","https://www.google.com/maps/?q=36.55,139.733"
"Yonezawa","94486","https://www.google.com/maps/?q=37.91,140.117"
"Kitakami","93854","https://www.google.com/maps/?q=39.2833,141.117"
"Chitose","92942","https://www.google.com/maps/?q=42.8194,141.652"
"Kaizuka","92632","https://www.google.com/maps/?q=34.45,135.35"
"Maizuru","92465","https://www.google.com/maps/?q=35.45,135.333"
"Kimitsu","92126","https://www.google.com/maps/?q=35.3504,139.87"
"Ginowan","91800","https://www.google.com/maps/?q=26.2626,127.761"
"Onomichi","90936","https://www.google.com/maps/?q=34.4167,133.2"
"Omura","89918","https://www.google.com/maps/?q=32.9214,129.954"
"Tsuyama","89717","https://www.google.com/maps/?q=35.0522,133.999"
"Izumo","89286","https://www.google.com/maps/?q=35.3667,132.767"
"Ashiya","88573","https://www.google.com/maps/?q=34.7281,135.303"
"Iwata","88509","https://www.google.com/maps/?q=34.7,137.85"
"Konosu","88493","https://www.google.com/maps/?q=36.0687,139.517"
"Nabari","88128","https://www.google.com/maps/?q=34.6167,136.083"
"Yotsukaido","86701","https://www.google.com/maps/?q=35.65,140.167"
"Hamakita","86502","https://www.google.com/maps/?q=34.8,137.783"
"Gyoda","86343","https://www.google.com/maps/?q=36.1407,139.46"
"Hanno","86262","https://www.google.com/maps/?q=35.8519,139.318"
"Kashiwazaki","86183","https://www.google.com/maps/?q=37.3667,138.55"
"Ryugasaki","85761","https://www.google.com/maps/?q=35.9,140.183"
"Iwamizawa","85107","https://www.google.com/maps/?q=43.2003,141.76"
"Kakegawa","84004","https://www.google.com/maps/?q=34.7667,138.017"
"Gotenba","83794","https://www.google.com/maps/?q=35.3186,138.943"
"Yachimata","83322","https://www.google.com/maps/?q=35.65,140.317"
"Katori-shi","83181","https://www.google.com/maps/?q=35.8977,140.499"
"Kamigyo-ku","83000","https://www.google.com/maps/?q=35.0295,135.757"
"Sanjo","82893","https://www.google.com/maps/?q=37.6167,138.95"
"Sano","82535","https://www.google.com/maps/?q=36.3167,139.583"
"Kanoya","82335","https://www.google.com/maps/?q=31.3833,130.85"
"Tochigi","82133","https://www.google.com/maps/?q=36.3833,139.733"
"Tanashicho","82112","https://www.google.com/maps/?q=35.7292,139.538"
"Marugame","82090","https://www.google.com/maps/?q=34.2833,133.783"
"Yashio","81345","https://www.google.com/maps/?q=35.8226,139.839"
"Tatebayashi","81274","https://www.google.com/maps/?q=36.25,139.533"
"Shibata","80793","https://www.google.com/maps/?q=37.95,139.333"
"Gamagori","80786","https://www.google.com/maps/?q=34.8333,137.233"
"Izumiotsu","80772","https://www.google.com/maps/?q=34.5,135.4"
"Toride","80716","https://www.google.com/maps/?q=35.9,140.083"
"Mihara","80387","https://www.google.com/maps/?q=34.4,133.083"
"Ushiku","80020","https://www.google.com/maps/?q=35.9667,140.133"
"Kashihara","79058","https://www.google.com/maps/?q=34.5833,135.617"
"Karatsu","78330","https://www.google.com/maps/?q=33.4425,129.97"
"Iizuka","78206","https://www.google.com/maps/?q=33.6365,130.687"
"Obu","77864","https://www.google.com/maps/?q=35.0176,136.949"
"Wako","77435","https://www.google.com/maps/?q=35.7894,139.623"
"Hatsukaichi","77341","https://www.google.com/maps/?q=34.35,132.333"
"Tsurusaki","76968","https://www.google.com/maps/?q=33.2453,131.692"
"Furukawa","76312","https://www.google.com/maps/?q=38.5717,140.956"
"Shimada","75781","https://www.google.com/maps/?q=34.8167,138.183"
"Takefu","75753","https://www.google.com/maps/?q=35.9039,136.167"
"Okegawa","75062","https://www.google.com/maps/?q=36,139.557"
"Miki","74701","https://www.google.com/maps/?q=34.8,134.983"
"Inuyama","73995","https://www.google.com/maps/?q=35.38,136.943"
"Kukichuo","73373","https://www.google.com/maps/?q=36.0674,139.675"
"Satsumasendai","73132","https://www.google.com/maps/?q=31.8167,130.3"
"Hanamaki","73115","https://www.google.com/maps/?q=39.3833,141.117"
"Yawata","71656","https://www.google.com/maps/?q=34.8701,135.703"
"Ito","71578","https://www.google.com/maps/?q=34.9667,139.083"
"Kazo","71291","https://www.google.com/maps/?q=36.1167,139.6"
"Yukuhashi","71277","https://www.google.com/maps/?q=33.7287,130.983"
"Tenri","71052","https://www.google.com/maps/?q=34.5833,135.833"
"Dazaifu","70587","https://www.google.com/maps/?q=33.5128,130.524"
"Maebaru-chuo","70339","https://www.google.com/maps/?q=33.5592,130.201"
"Tanabe","69563","https://www.google.com/maps/?q=33.7333,135.367"
"Omihachiman","69189","https://www.google.com/maps/?q=35.1286,136.098"
"Saku","68885","https://www.google.com/maps/?q=36.2167,138.483"
"Hekinan","68872","https://www.google.com/maps/?q=34.8833,136.983"
"Sukagawa","68790","https://www.google.com/maps/?q=37.2833,140.383"
"Fukuchiyama","68735","https://www.google.com/maps/?q=35.3,135.117"
"Moriyama","68584","https://www.google.com/maps/?q=35.0667,135.983"
"Tsuruga","68482","https://www.google.com/maps/?q=35.6455,136.056"
"Matsuto","68159","https://www.google.com/maps/?q=36.5167,136.567"
"Tamano","67786","https://www.google.com/maps/?q=34.5174,133.946"
"Tsushima","67658","https://www.google.com/maps/?q=35.1667,136.717"
"Nakatsu","67372","https://www.google.com/maps/?q=33.5981,131.188"
"Shiojiri","67159","https://www.google.com/maps/?q=36.1,137.967"
"Chiryu","67062","https://www.google.com/maps/?q=35,137.033"
"Takayama","66636","https://www.google.com/maps/?q=36.1333,137.25"
"Togane","66332","https://www.google.com/maps/?q=35.55,140.367"
"Sabae","66291","https://www.google.com/maps/?q=35.9465,136.185"
"Niitsu-honcho","65910","https://www.google.com/maps/?q=37.8002,139.122"
"Tanabe","65903","https://www.google.com/maps/?q=34.8224,135.766"
"Kashima-shi","65814","https://www.google.com/maps/?q=35.9654,140.645"
"Mooka","65717","https://www.google.com/maps/?q=36.4333,140.017"
"Shiki","65411","https://www.google.com/maps/?q=35.8333,139.583"
"Tendo","65393","https://www.google.com/maps/?q=38.3536,140.37"
"Gushikawa","65251","https://www.google.com/maps/?q=26.3594,127.867"
"Hasuda","65161","https://www.google.com/maps/?q=35.9711,139.649"
"Odate","64543","https://www.google.com/maps/?q=40.2718,140.558"
"Imaichi","64323","https://www.google.com/maps/?q=36.7167,139.683"
"Narutocho-mitsuishi","64082","https://www.google.com/maps/?q=34.1993,134.609"
"Shimodate","63666","https://www.google.com/maps/?q=36.3,139.983"
"Tosu","63595","https://www.google.com/maps/?q=33.3667,130.517"
"Fujioka","63358","https://www.google.com/maps/?q=36.2462,139.072"
"Fukuroi","63045","https://www.google.com/maps/?q=34.75,137.917"
"Ichinoseki","62970","https://www.google.com/maps/?q=38.9167,141.133"
"Sakurai","62964","https://www.google.com/maps/?q=34.5,135.85"
"Kitahiroshima","62370","https://www.google.com/maps/?q=42.9758,141.567"
"Fussa","62296","https://www.google.com/maps/?q=35.7367,139.324"
"Ina","62104","https://www.google.com/maps/?q=35.8276,137.954"
"Nagahama","62089","https://www.google.com/maps/?q=35.3833,136.267"
"Honjo","61868","https://www.google.com/maps/?q=36.2378,139.19"
"Ueno-ebisumachi","61598","https://www.google.com/maps/?q=34.7586,136.131"
"Hita","61481","https://www.google.com/maps/?q=33.3213,130.941"
"Toki","61394","https://www.google.com/maps/?q=35.35,137.183"
"Mizusawa","61281","https://www.google.com/maps/?q=39.1333,141.133"
"Kuroiso","61230","https://www.google.com/maps/?q=36.9667,140.05"
"Takaishi","60511","https://www.google.com/maps/?q=34.5167,135.433"
"Yoshikawa","60510","https://www.google.com/maps/?q=35.8923,139.842"
"Zushi","60055","https://www.google.com/maps/?q=35.2948,139.578"
"Koga","60045","https://www.google.com/maps/?q=33.7333,130.467"
"Nago","59587","https://www.google.com/maps/?q=26.615,127.985"
"Shiogama","59526","https://www.google.com/maps/?q=38.3167,141.033"
"Uwajima","58971","https://www.google.com/maps/?q=33.2238,132.56"
"Otawara","58888","https://www.google.com/maps/?q=36.8667,140.033"
"Saijo","58823","https://www.google.com/maps/?q=33.9167,133.183"
"Hanyu","58686","https://www.google.com/maps/?q=36.1667,139.533"
"Chichibu","58507","https://www.google.com/maps/?q=35.9903,139.076"
"Kasaoka","58461","https://www.google.com/maps/?q=34.506,133.504"
"Koga","58004","https://www.google.com/maps/?q=36.1833,139.717"
"Imaricho-ko","57940","https://www.google.com/maps/?q=33.2736,129.879"
"Kokubu-matsuki","57896","https://www.google.com/maps/?q=31.7333,130.767"
"Soja","57469","https://www.google.com/maps/?q=34.6753,133.751"
"Ishikari","57301","https://www.google.com/maps/?q=43.2397,141.354"
"Itoman","57184","https://www.google.com/maps/?q=26.1265,127.669"
"Hashimoto","57115","https://www.google.com/maps/?q=34.3167,135.617"
"Sakaidecho","57090","https://www.google.com/maps/?q=34.3228,133.836"
"Nogata","56821","https://www.google.com/maps/?q=33.7405,130.723"
"Chino","56567","https://www.google.com/maps/?q=35.9944,138.154"
"Moriya","56566","https://www.google.com/maps/?q=35.9333,140"
"Tomigusuku","55715","https://www.google.com/maps/?q=26.1858,127.682"
"Iwade","55633","https://www.google.com/maps/?q=34.25,135.317"
"Anan","55421","https://www.google.com/maps/?q=33.9167,134.65"
"Nanto-shi","55315","https://www.google.com/maps/?q=36.5692,136.912"
"Shiroi","55314","https://www.google.com/maps/?q=35.8,140.067"
"Satte","55286","https://www.google.com/maps/?q=36.0725,139.726"
"Nakatsugawa","55011","https://www.google.com/maps/?q=35.4833,137.5"
"Suwa","54735","https://www.google.com/maps/?q=36.038,138.113"
"Himimachi","54510","https://www.google.com/maps/?q=36.8561,136.988"
"Okaya","54286","https://www.google.com/maps/?q=36.0566,138.045"
"Suzaka","54022","https://www.google.com/maps/?q=36.65,138.317"
"Oami","53239","https://www.google.com/maps/?q=35.5167,140.317"
"Muko","53222","https://www.google.com/maps/?q=34.9655,135.704"
"Hatogaya-honcho","53062","https://www.google.com/maps/?q=35.8331,139.742"
"Kudamatsu","52772","https://www.google.com/maps/?q=34,131.867"
"Kamifukuoka","52323","https://www.google.com/maps/?q=35.8727,139.514"
"Ishioka","52304","https://www.google.com/maps/?q=36.1833,140.267"
"Kariya","52015","https://www.google.com/maps/?q=34.7514,134.387"
"Miyako","51721","https://www.google.com/maps/?q=39.6469,141.941"
"Futtsu","51650","https://www.google.com/maps/?q=35.3108,139.819"
"Tagawa","51608","https://www.google.com/maps/?q=33.6333,130.8"
"Yuki","51574","https://www.google.com/maps/?q=36.3,139.883"
"Minokamo","51543","https://www.google.com/maps/?q=35.482,137.022"
"Miura","51483","https://www.google.com/maps/?q=35.14,139.619"
"Noshiro","51079","https://www.google.com/maps/?q=40.2084,140.027"
"Shiraoka","50974","https://www.google.com/maps/?q=36.0184,139.66"
"Kitaibaraki","50843","https://www.google.com/maps/?q=36.7867,140.749"
"Fuchucho","50746","https://www.google.com/maps/?q=34.5735,133.235"
"Oi","50593","https://www.google.com/maps/?q=35.8509,139.52"
"Ono","50230","https://www.google.com/maps/?q=34.85,134.933"
"Tateyama","50064","https://www.google.com/maps/?q=34.9833,139.867"
"Arashiyama","50000","https://www.google.com/maps/?q=35.0148,135.678"
"Sugito","49817","https://www.google.com/maps/?q=36.0311,139.726"
"Tokoname","49554","https://www.google.com/maps/?q=34.8833,136.85"
"Tomioka","49281","https://www.google.com/maps/?q=36.2541,138.898"
"Mutsu","49220","https://www.google.com/maps/?q=41.2894,141.217"
"Goshogawara","49110","https://www.google.com/maps/?q=40.8044,140.441"
"Saiki","49065","https://www.google.com/maps/?q=32.95,131.9"
"Fujiyoshida","49055","https://www.google.com/maps/?q=35.4403,138.796"
"Masuda","48576","https://www.google.com/maps/?q=34.6667,131.85"
"Nonoichi","48354","https://www.google.com/maps/?q=36.5333,136.617"
"Kurayoshi","48347","https://www.google.com/maps/?q=35.4333,133.817"
"Shibukawa","48322","https://www.google.com/maps/?q=36.4833,139"
"Ami","48256","https://www.google.com/maps/?q=36.0333,140.2"
"Annaka","48235","https://www.google.com/maps/?q=36.3301,138.896"
"Iwakura","48007","https://www.google.com/maps/?q=35.2833,136.867"
"Sasayama","47204","https://www.google.com/maps/?q=35.0667,135.217"
"Sawara","47199","https://www.google.com/maps/?q=35.8833,140.5"
"Inashiki","46994","https://www.google.com/maps/?q=35.9563,140.324"
"Gujo","46918","https://www.google.com/maps/?q=35.7369,136.959"
"Naka","46760","https://www.google.com/maps/?q=36.05,140.167"
"Nakama","46745","https://www.google.com/maps/?q=33.8169,130.71"
"Toyooka","46500","https://www.google.com/maps/?q=35.5401,134.82"
"Komoro","46272","https://www.google.com/maps/?q=36.3167,138.433"
"Hikari","45885","https://www.google.com/maps/?q=33.955,131.95"
