,name,content,timestamp
191,Ezreal#0001,WHAT IS THAT WEIRD MESSAGE,2020-11-19T04:12:33.271000+00:00
192,Ezreal#0001,<a:peepoFatBonk:758737544040022026>,2020-11-19T04:12:43.730000+00:00
193,Ezreal#0001,WHY IS IT like that,2020-11-19T04:13:25.749000+00:00
194,Katherina#5064,"> all my homies love journey's end
<@411912034351841281> thank God I'm not your homie",2020-11-18T19:32:34.855000+00:00
195,Naota Nandaba#8064,!rank,2020-11-18T19:32:35.901000+00:00
196,Norga#0001,we started calamity death mode and after hive mind,2020-11-18T19:32:40.067000+00:00
197,Norga#0001,no more server,2020-11-18T19:32:41.704000+00:00
198,Robert39#5805,true,2020-11-17T19:32:38.207000+00:00
199,Robert39#5805,!rank,2020-11-17T19:32:40.885000+00:00
200,Robert39#5805,where is xaiinz at,2020-11-17T19:32:46.543000+00:00
201,nomiko#5108,who here is a bnt el ensan,2020-11-17T19:35:54.716000+00:00
202,Luxcha✨🌸#0831,!rank,2020-11-17T19:32:14.722000+00:00
203,Luxcha✨🌸#0831,so much randoms,2020-11-17T19:32:17.231000+00:00
204,Robert39#5805,true,2020-11-17T19:32:38.207000+00:00
205,Foreskin Bandit#3872,!rank,2020-11-17T19:09:50.303000+00:00
206,Luxcha✨🌸#0831,!rank,2020-11-17T19:32:14.722000+00:00
207,Foreskin Bandit#3872,always banned,2020-11-17T19:08:44.814000+00:00
208,Koudous#0602,!rank,2020-11-17T19:09:41.532000+00:00
209,Foreskin Bandit#3872,!rank,2020-11-17T19:09:50.303000+00:00
210,Ohmbitter#5208,!rank,2020-11-17T15:59:04.579000+00:00
211,Ohmbitter#5208,<:peepohabibi:732988139395874907>,2020-11-17T15:59:11.496000+00:00
212,Ken-#5263,Kathy,2020-11-17T16:06:28.358000+00:00
213,Brainf**k!#9160,tf,2020-11-17T15:58:45.101000+00:00
214,Brainf**k!#9160,!rank,2020-11-17T15:58:48.274000+00:00
215,Ohmbitter#5208,!rank,2020-11-17T15:59:04.579000+00:00
216,FNC N.oir#6229,!rank <@248864319729565697>,2020-11-17T14:04:26.160000+00:00
217,nomiko#5108,hiii umm my friend says he cant join the server,2020-11-17T14:04:54.180000+00:00
218,nomiko#5108,he says they wont let him join,2020-11-17T14:05:06.947000+00:00
219,nomiko#5108,gl,2020-11-17T14:02:46.267000+00:00
220,FNC N.oir#6229,!rank,2020-11-17T14:03:43.677000+00:00
221,FNC N.oir#6229,!rank <@248864319729565697>,2020-11-17T14:04:26.160000+00:00
222,Katherina#5064,No idea,2020-11-16T19:14:41.598000+00:00
223,Luxcha✨🌸#0831,!rank,2020-11-16T19:14:46.367000+00:00
224,Ken-#5263,i forgot about u,2020-11-16T19:14:48.979000+00:00
225,Ken-#5263,i guess,2020-11-16T19:14:50.171000+00:00
226,Rift#5784,!rank <@!474320594163466250>,2020-11-16T17:01:26.098000+00:00
227,Rift#5784,<:PeepoPointLaugh:663143007251464216>,2020-11-16T17:01:38.086000+00:00
228,Luxcha✨🌸#0831,<a:Laugh:722710794512498698>,2020-11-16T17:01:42.060000+00:00
229,XaiinZ#9700,!rank,2020-11-16T17:01:20.377000+00:00
230,Rift#5784,!rank <@!474320594163466250>,2020-11-16T17:01:26.098000+00:00
231,Katherina#5064,"> I have kathy in friend list
<@411912034351841281> do you?",2020-11-16T17:01:10.662000+00:00
232,Rift#5784,!rank,2020-11-16T17:01:13.868000+00:00
233,XaiinZ#9700,!rank,2020-11-16T17:01:20.377000+00:00
234,Base#1129,!rank,2020-11-16T16:58:25.934000+00:00
235,Base#1129,pog,2020-11-16T16:58:28.497000+00:00
236,Luxcha✨🌸#0831,random,2020-11-16T16:58:36.125000+00:00
237,Luxcha✨🌸#0831,3 win from p1,2020-11-16T16:58:14.092000+00:00
238,Robert39#5805,!rank,2020-11-16T16:58:16.280000+00:00
239,Base#1129,!rank,2020-11-16T16:58:25.934000+00:00
240,Luxcha✨🌸#0831,!rank,2020-11-16T16:58:04.164000+00:00
